(Maryland House Members) Office, Name, Party, Date_Assumed_Office
Scraped from https://ballotpedia.org/Maryland_House_of_Delegates

Maryland House of Delegates District 1A,Jim Hinebaugh Jr.,Republican ,January 11, 2023
Maryland House of Delegates District 1B,Jason C. Buckel,Republican ,January 14, 2015
Maryland House of Delegates District 1C,Terry Baker,Republican ,January 11, 2023
Maryland House of Delegates District 2A,William Valentine,Republican ,January 11, 2023
Maryland House of Delegates District 2A,William Wivell,Republican ,March 16, 2015
Maryland House of Delegates District 2B,Brooke Grossman,Democratic ,January 11, 2023
Maryland House of Delegates District 3,Kris Fair,Democratic ,January 11, 2023
Maryland House of Delegates District 3,Ken Kerr,Democratic ,January 11, 2023
Maryland House of Delegates District 3,Karen Simpson,Democratic ,January 11, 2023
Maryland House of Delegates District 4,Barrie Ciliberti,Republican ,February 4, 2015
Maryland House of Delegates District 4,April Fleming Miller,Republican ,January 11, 2023
Maryland House of Delegates District 4,Jesse Pippy,Republican ,January 9, 2019
Maryland House of Delegates District 5,Christopher Eric Bouchat,Republican ,January 11, 2023
Maryland House of Delegates District 5,April Rose,Republican ,March 16, 2015
Maryland House of Delegates District 5,Chris Tomlinson,Republican ,January 11, 2023
Maryland House of Delegates District 6,Robin L. Grammer, Jr.,Republican ,January 14, 2015
Maryland House of Delegates District 6,Bob Long,Republican ,January 14, 2015
Maryland House of Delegates District 6,Ric Metzgar,Republican ,January 14, 2015
Maryland House of Delegates District 7A,Ryan Nawrocki,Republican ,January 11, 2023
Maryland House of Delegates District 7A,Kathy Szeliga,Republican ,January 11, 2023
Maryland House of Delegates District 7B,Lauren Arikan,Republican ,January 11, 2023
Maryland House of Delegates District 8,Nick Allen,Democratic ,January 11, 2023
Maryland House of Delegates District 8,Harry Bhandari,Democratic ,January 9, 2019
Maryland House of Delegates District 8,Carl Jackson,Democratic ,October 21, 2019
Maryland House of Delegates District 9A,Chao Wu,Democratic ,January 11, 2023
Maryland House of Delegates District 9A,Natalie Ziegler,Democratic ,January 11, 2023
Maryland House of Delegates District 9B,Courtney Watson,Democratic ,January 9, 2019
Maryland House of Delegates District 10,Adrienne Jones,Democratic ,October 21, 1997
Maryland House of Delegates District 10,N. Scott Phillips,Democratic ,January 11, 2023
Maryland House of Delegates District 10,Jennifer White,Democratic ,January 11, 2023
Maryland House of Delegates District 11A,Cheryl Pasteur,Democratic ,January 11, 2023
Maryland House of Delegates District 11B,Jon Cardin,Democratic ,January 11, 2023
Maryland House of Delegates District 11B,Dana Stein,Democratic ,January 11, 2023
Maryland House of Delegates District 12A,Jessica Feldmark,Democratic ,January 11, 2023
Maryland House of Delegates District 12A,Terri L. Hill,Democratic ,January 11, 2023
Maryland House of Delegates District 12B,Gary Simmons,Democratic ,January 11, 2023
Maryland House of Delegates District 13,Vanessa Atterbeary,Democratic ,January 14, 2015
Maryland House of Delegates District 13,Pam Lanman Guzzone,Democratic ,January 11, 2023
Maryland House of Delegates District 13,Jen Terrasa,Democratic ,January 9, 2019
Maryland House of Delegates District 14,Anne Kaiser,Democratic ,January 8, 2003
