(Virginia House Members) Office, Name, Party, Date_Assumed_Office
Scraped from https://ballotpedia.org/Virginia_House_of_Delegates

Virginia House of Delegates District 1,Patrick Hope,Democratic ,January 10, 2024
Virginia House of Delegates District 2,Adele McClure,Democratic ,January 10, 2024
Virginia House of Delegates District 3,Alfonso Lopez,Democratic ,January 10, 2024
Virginia House of Delegates District 4,Charniele Herring,Democratic ,January 10, 2024
Virginia House of Delegates District 5,Elizabeth Bennett-Parker,Democratic ,January 10, 2024
Virginia House of Delegates District 6,R.C. Sullivan Jr.,Democratic ,January 10, 2024
Virginia House of Delegates District 7,Karen Keys-Gamarra,Democratic ,January 10, 2024
Virginia House of Delegates District 8,Irene Shin,Democratic ,January 10, 2024
Virginia House of Delegates District 9,Karrie Delaney,Democratic ,January 10, 2024
Virginia House of Delegates District 10,Dan Helmer,Democratic ,January 10, 2024
Virginia House of Delegates District 11,David Bulova,Democratic ,January 10, 2024
Virginia House of Delegates District 12,Holly Seibold,Democratic ,January 10, 2024
Virginia House of Delegates District 13,Marcus Simon,Democratic ,January 10, 2024
Virginia House of Delegates District 14,Vivian Watts,Democratic ,January 10, 2024
Virginia House of Delegates District 15,Laura Jane Cohen,Democratic ,January 10, 2024
Virginia House of Delegates District 16,Paul Krizek,Democratic ,January 10, 2024
Virginia House of Delegates District 17,Mark Sickles,Democratic ,January 10, 2024
Virginia House of Delegates District 18,Kathy Tran,Democratic ,January 10, 2024
Virginia House of Delegates District 19,Rozia Henson,Democratic ,January 10, 2024
Virginia House of Delegates District 20,Michelle Maldonado,Democratic ,January 10, 2024
Virginia House of Delegates District 21,Joshua Thomas,Democratic ,January 10, 2024
Virginia House of Delegates District 22,Ian Lovejoy,Republican ,January 10, 2024
Virginia House of Delegates District 23,Candi King,Democratic ,January 10, 2024
Virginia House of Delegates District 24,Luke Torian,Democratic ,January 10, 2024
Virginia House of Delegates District 25,Briana Sewell,Democratic ,January 10, 2024
Virginia House of Delegates District 26,Kannan Srinivasan,Democratic ,January 10, 2024
Virginia House of Delegates District 27,Atoosa Reaser,Democratic ,January 10, 2024
Virginia House of Delegates District 28,David Reid,Democratic ,January 10, 2024
Virginia House of Delegates District 29,Marty Martinez,Democratic ,January 10, 2024
Virginia House of Delegates District 30,Geary Higgins,Republican ,January 10, 2024
Virginia House of Delegates District 31,Delores Oates,Republican ,January 10, 2024
Virginia House of Delegates District 32,Bill Wiley,Republican ,January 10, 2024
Virginia House of Delegates District 33,Todd Gilbert,Republican ,January 10, 2024
Virginia House of Delegates District 34,Tony Wilt,Republican ,January 10, 2024
Virginia House of Delegates District 35,Chris Runion,Republican ,January 10, 2024
Virginia House of Delegates District 36,Ellen Campbell,Republican ,January 10, 2024
Virginia House of Delegates District 37,Terry Austin,Republican ,January 10, 2024
Virginia House of Delegates District 38,Sam Rasoul,Democratic ,January 10, 2024
Virginia House of Delegates District 39,Will Davis,Republican ,January 10, 2024
Virginia House of Delegates District 40,Joseph McNamara,Republican ,January 10, 2024
Virginia House of Delegates District 41,Chris Obenshain,Republican ,January 10, 2024
Virginia House of Delegates District 42,Jason Ballard,Republican ,January 10, 2024
Virginia House of Delegates District 43,Will Morefield,Republican ,January 10, 2024
Virginia House of Delegates District 44,Israel O'Quinn,Republican ,January 10, 2024
