GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2400101-000,001,01-000,637,0,25,37,41,73,103,123,116,64,20,110,421,97,2,4,0,0,0,3,0,569,8,1,2,5,52,569,1,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,479,196,196,344,164,0,0,434,242,242,0,310,129,0,0,374,133,133,247,143
2400102-000,001,02-000,732,0,29,46,57,75,130,127,124,68,24,136,460,125,1,4,1,0,1,4,0,631,1,6,5,4,85,631,6,1,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,85,517,244,244,346,187,0,0,474,255,255,0,310,133,0,0,410,142,142,273,173
2400103-000,001,03-000,697,0,23,44,35,87,94,152,137,53,30,127,452,114,3,0,0,0,1,0,0,629,5,2,3,0,58,629,2,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,531,229,229,374,164,0,0,476,230,230,0,287,114,0,0,386,113,113,269,159
2400104-002,001,04-002,733,0,39,55,58,115,125,126,74,48,10,265,273,180,1,3,3,0,0,8,0,586,10,57,2,9,69,586,57,10,0,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,371,171,171,241,125,0,0,309,143,143,0,162,57,0,0,271,57,57,147,78
2400104-003,001,04-003,1029,0,40,72,93,157,169,145,138,84,35,365,401,239,4,5,3,1,2,9,0,865,21,23,11,11,98,865,23,21,2,3,4,1,3,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,98,566,282,282,397,224,0,0,492,263,263,0,309,112,0,0,448,135,135,283,180
2400104-004,001,04-004,1283,0,51,81,82,179,196,184,215,135,71,462,601,204,6,2,3,0,0,5,0,1113,23,12,7,7,121,1113,12,23,1,1,1,3,0,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,121,921,508,508,707,415,0,0,798,441,441,0,564,249,0,0,730,279,279,529,364
2400104-005,001,04-005,746,0,36,40,57,103,125,126,96,80,24,259,284,182,11,4,3,0,0,3,0,669,2,9,6,2,58,669,9,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,58,436,170,170,309,136,0,0,386,184,184,0,229,71,0,0,328,99,99,208,140
2400104-008,001,04-008,1284,0,52,69,85,166,164,217,211,159,68,449,565,242,7,10,1,1,1,8,0,1101,17,29,9,13,115,1101,28,17,2,7,4,2,3,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,115,832,440,440,611,360,0,0,774,410,410,0,507,228,0,0,677,283,283,490,326
2400105-004,001,05-004,1058,0,44,53,78,161,148,185,162,96,44,392,421,227,10,4,0,0,2,2,0,914,12,23,7,7,95,914,23,12,3,2,2,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,95,682,334,334,486,275,0,0,581,300,300,0,379,175,0,0,537,198,198,363,238
2400105-006,001,05-006,524,0,17,33,47,70,75,97,68,48,17,144,265,103,3,3,0,2,0,4,0,461,10,1,3,3,46,461,1,10,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,46,353,151,151,246,121,0,0,308,157,157,0,195,81,0,0,258,85,85,179,119
